IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
CP039784.1,"Mycoplasmoides pneumoniae strain 10-1385 chromosome, complete genome",166019->166043,100%,166123<-166143,100%,130434<-130455,95%
,NA,179559->179583,100%,179663<-179683,100%,166078<-166099,100%
,NA,441556->441580,100%,246918<-246938,100%,179618<-179639,100%
,NA,NA,NA,441660<-441680,100%,246873<-246894,95%
,NA,NA,NA,NA,NA,441615<-441636,100%
NZ_CP020712.1,"Mycoplasmoides pneumoniae strain S12-tet-R chromosome, complete genome",165951->165975,100%,166055<-166075,100%,166010<-166031,100%
,NA,181031->181055,100%,181135<-181155,100%,181090<-181111,100%
,NA,443320->443344,100%,248564<-248584,100%,248519<-248540,95%
,NA,NA,NA,443424<-443444,100%,443379<-443400,100%
NZ_CP014267.1,"Mycoplasmoides pneumoniae strain C267 chromosome, complete genome",165950->165974,100%,166054<-166074,100%,130438<-130459,95%
,NA,181030->181054,100%,181134<-181154,100%,166009<-166030,100%
,NA,443364->443388,100%,248569<-248589,100%,181089<-181110,100%
,NA,NA,NA,443468<-443488,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443423<-443444,100%
CP039774.1,"Mycoplasmoides pneumoniae strain 12-060 chromosome, complete genome",165949->165973,100%,166053<-166073,100%,130441<-130462,95%
,NA,181029->181053,100%,181133<-181153,100%,166008<-166029,100%
,NA,443306->443330,100%,248571<-248591,100%,181088<-181109,100%
,NA,NA,NA,443410<-443430,100%,248526<-248547,95%
,NA,NA,NA,NA,NA,443365<-443386,100%
CP039770.1,"Mycoplasmoides pneumoniae strain 15-885 chromosome, complete genome",165927->165951,100%,166031<-166051,100%,130417<-130438,95%
,NA,181007->181031,100%,181111<-181131,100%,165986<-166007,100%
,NA,443232->443256,100%,248558<-248578,100%,181066<-181087,100%
,NA,NA,NA,443336<-443356,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443291<-443312,100%
CP179079.1,"Mycoplasmoides pneumoniae strain 88797.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520664->520688,100%,326061<-326081,100%,258583<-258604,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP179089.1,"Mycoplasmoides pneumoniae strain 89178.fasta chromosome, complete genome",243434->243458,100%,243538<-243558,100%,207924<-207945,95%
,NA,258514->258538,100%,258618<-258638,100%,243493<-243514,100%
,NA,520653->520677,100%,326050<-326070,100%,258573<-258594,100%
,NA,NA,NA,520757<-520777,100%,326005<-326026,95%
,NA,NA,NA,NA,NA,520712<-520733,100%
CP039780.1,"Mycoplasmoides pneumoniae strain 11-212 chromosome, complete genome",165933->165957,100%,166037<-166057,100%,130425<-130446,95%
,NA,181013->181037,100%,181117<-181137,100%,165992<-166013,100%
,NA,443335->443359,100%,248552<-248572,100%,181072<-181093,100%
,NA,NA,NA,443439<-443459,100%,248507<-248528,95%
,NA,NA,NA,NA,NA,443394<-443415,100%
CP179181.1,"Mycoplasmoides pneumoniae strain 90395.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520666->520690,100%,326063<-326083,100%,258581<-258602,100%
,NA,NA,NA,520770<-520790,100%,326018<-326039,95%
,NA,NA,NA,NA,NA,520725<-520746,100%
NZ_CP010543.1,"Mycoplasmoides pneumoniae 54524 chromosome, complete genome",165943->165967,100%,166047<-166067,100%,130427<-130448,95%
,NA,181024->181048,100%,181128<-181148,100%,166002<-166023,100%
,NA,443414->443438,100%,248561<-248581,100%,181083<-181104,100%
,NA,NA,NA,443518<-443538,100%,248516<-248537,95%
,NA,NA,NA,NA,NA,443473<-443494,100%
CP179171.1,"Mycoplasmoides pneumoniae strain 90365.fasta chromosome, complete genome",165928->165952,100%,166032<-166052,100%,130416<-130437,95%
,NA,181008->181032,100%,181112<-181132,100%,165987<-166008,100%
,NA,443236->443260,100%,248561<-248581,100%,181067<-181088,100%
,NA,NA,NA,443340<-443360,100%,248516<-248537,95%
,NA,NA,NA,NA,NA,443295<-443316,100%
NZ_CP039761.1,"Mycoplasmoides pneumoniae strain 16-734 chromosome, complete genome",165901->165925,100%,166005<-166025,100%,130338<-130359,95%
,NA,179441->179465,100%,179545<-179565,100%,165960<-165981,100%
,NA,441432->441456,100%,246809<-246829,100%,179500<-179521,100%
,NA,NA,NA,441536<-441556,100%,246764<-246785,95%
,NA,NA,NA,NA,NA,441491<-441512,100%
NZ_CP039765.1,"Mycoplasmoides pneumoniae strain 16-032 chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443353->443377,100%,248558<-248578,100%,181078<-181099,100%
,NA,NA,NA,443457<-443477,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443412<-443433,100%
CP179185.1,"Mycoplasmoides pneumoniae strain 90399.fasta chromosome, complete genome",243429->243453,100%,243533<-243553,100%,207923<-207944,95%
,NA,258509->258533,100%,258613<-258633,100%,243488<-243509,100%
,NA,520651->520675,100%,326045<-326065,100%,258568<-258589,100%
,NA,NA,NA,520755<-520775,100%,326000<-326021,95%
,NA,NA,NA,NA,NA,520710<-520731,100%
CP179052.1,"Mycoplasmoides pneumoniae strain 88540.fasta chromosome, complete genome",243434->243458,100%,243538<-243558,100%,207922<-207943,95%
,NA,258514->258538,100%,258618<-258638,100%,243493<-243514,100%
,NA,520652->520676,100%,326049<-326069,100%,258573<-258594,100%
,NA,NA,NA,520756<-520776,100%,326004<-326025,95%
,NA,NA,NA,NA,NA,520711<-520732,100%
NZ_CP010547.1,"Mycoplasmoides pneumoniae M1139 chromosome, complete genome",165992->166016,100%,166096<-166116,100%,130424<-130445,95%
,NA,179532->179556,100%,179636<-179656,100%,166051<-166072,100%
,NA,441442->441466,100%,246905<-246925,100%,179591<-179612,100%
,NA,NA,NA,441546<-441566,100%,246860<-246881,95%
,NA,NA,NA,NA,NA,441501<-441522,100%
CM152641.1,"Mycoplasmoides pneumoniae strain TWMP815_2025 isolate MP815_2025 chromosome, complete sequence, whole genome shotgun sequence",165919->165943,100%,166024<-166044,100%,130410<-130431,95%
,NA,181004->181028,100%,181109<-181129,100%,165979<-166000,100%
,NA,443467->443491,100%,248557<-248577,100%,181064<-181085,100%
,NA,NA,NA,443571<-443591,100%,248512<-248533,95%
,NA,NA,NA,NA,NA,443526<-443547,100%
CP178955.1,"Mycoplasmoides pneumoniae strain 87454.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520656->520680,100%,326053<-326073,100%,258579<-258600,100%
,NA,NA,NA,520760<-520780,100%,326008<-326029,95%
,NA,NA,NA,NA,NA,520715<-520736,100%
NZ_CP017343.1,"Mycoplasmoides pneumoniae strain M129 2002 chromosome, complete genome",165948->165972,100%,166052<-166072,100%,130430<-130451,95%
,NA,181028->181052,100%,181132<-181152,100%,166007<-166028,100%
,NA,443411->443435,100%,248559<-248579,100%,181087<-181108,100%
,NA,NA,NA,443515<-443535,100%,248514<-248535,95%
,NA,NA,NA,NA,NA,443470<-443491,100%
CP179189.1,"Mycoplasmoides pneumoniae strain 90403.fasta chromosome, complete genome",165854->165878,100%,165958<-165978,100%,130342<-130363,95%
,NA,180934->180958,100%,181038<-181058,100%,165913<-165934,100%
,NA,443275->443299,100%,248480<-248500,100%,180993<-181014,100%
,NA,NA,NA,443379<-443399,100%,248435<-248456,95%
,NA,NA,NA,NA,NA,443334<-443355,100%
CM152645.1,"Mycoplasmoides pneumoniae strain TWMP946_2025 isolate MP946_2025 chromosome, complete sequence, whole genome shotgun sequence",165918->165942,100%,166022<-166042,100%,130409<-130430,95%
,NA,180999->181023,100%,181103<-181123,100%,165977<-165998,100%
,NA,443372->443396,100%,248536<-248556,100%,181058<-181079,100%
,NA,NA,NA,443476<-443496,100%,248491<-248512,95%
,NA,NA,NA,NA,NA,443431<-443452,100%
CP179179.1,"Mycoplasmoides pneumoniae strain 90384.fasta chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207926<-207947,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520662->520686,100%,326059<-326079,100%,258577<-258598,100%
,NA,NA,NA,520766<-520786,100%,326014<-326035,95%
,NA,NA,NA,NA,NA,520721<-520742,100%
NZ_CP039769.1,"Mycoplasmoides pneumoniae strain 15-969 chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443237->443261,100%,248550<-248570,100%,181078<-181099,100%
,NA,NA,NA,443341<-443361,100%,248505<-248526,95%
,NA,NA,NA,NA,NA,443296<-443317,100%
CP178951.1,"Mycoplasmoides pneumoniae strain 87445.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520657->520681,100%,326055<-326075,100%,258579<-258600,100%
,NA,NA,NA,520761<-520781,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CM152629.1,"Mycoplasmoides pneumoniae strain TWMP177_2025 isolate MP177_2025 chromosome, complete sequence, whole genome shotgun sequence",165959->165983,100%,166064<-166084,100%,130447<-130468,95%
,NA,181021->181045,100%,181125<-181145,100%,166019<-166040,100%
,NA,443202->443226,100%,248571<-248591,100%,181080<-181101,100%
,NA,NA,NA,443306<-443326,100%,248526<-248547,95%
,NA,NA,NA,NA,NA,443261<-443282,100%
CP179032.1,"Mycoplasmoides pneumoniae strain 88190.fasta chromosome, complete genome",243445->243469,100%,243549<-243569,100%,207935<-207956,95%
,NA,258525->258549,100%,258629<-258649,100%,243504<-243525,100%
,NA,520658->520682,100%,326055<-326075,100%,258584<-258605,100%
,NA,NA,NA,520762<-520782,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
NZ_AP035799.1,"Mycoplasmoides pneumoniae strain TA9309 chromosome, complete genome",165957->165981,100%,166061<-166081,100%,130434<-130455,95%
,NA,179497->179521,100%,179601<-179621,100%,166016<-166037,100%
,NA,441615->441639,100%,246862<-246882,100%,179556<-179577,100%
,NA,NA,NA,441719<-441739,100%,246817<-246838,95%
,NA,NA,NA,NA,NA,441674<-441695,100%
CP179036.1,"Mycoplasmoides pneumoniae strain 88205.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130418<-130439,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443410->443434,100%,248543<-248563,100%,181065<-181086,100%
,NA,NA,NA,443514<-443534,100%,248498<-248519,95%
,NA,NA,NA,NA,NA,443469<-443490,100%
CP178939.1,"Mycoplasmoides pneumoniae strain 87340.fasta chromosome, complete genome",243448->243472,100%,243552<-243572,100%,207933<-207954,95%
,NA,258528->258552,100%,258632<-258652,100%,243507<-243528,100%
,NA,520674->520698,100%,326070<-326090,100%,258587<-258608,100%
,NA,NA,NA,520778<-520798,100%,326025<-326046,95%
,NA,NA,NA,NA,NA,520733<-520754,100%
CP179111.1,"Mycoplasmoides pneumoniae strain 89262.fasta chromosome, complete genome",243447->243471,100%,243551<-243571,100%,207933<-207954,95%
,NA,258527->258551,100%,258631<-258651,100%,243506<-243527,100%
,NA,520667->520691,100%,326064<-326084,100%,258586<-258607,100%
,NA,NA,NA,520771<-520791,100%,326019<-326040,95%
,NA,NA,NA,NA,NA,520726<-520747,100%
NZ_AP035795.1,"Mycoplasmoides pneumoniae strain TA7396 chromosome, complete genome",166021->166045,100%,166125<-166145,100%,130447<-130468,95%
,NA,179561->179585,100%,179665<-179685,100%,166080<-166101,100%
,NA,441506->441530,100%,246920<-246940,100%,179620<-179641,100%
,NA,NA,NA,441610<-441630,100%,246875<-246896,95%
,NA,NA,NA,NA,NA,441565<-441586,100%
CP179119.1,"Mycoplasmoides pneumoniae strain 89322.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207931<-207952,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520667->520691,100%,326064<-326084,100%,258580<-258601,100%
,NA,NA,NA,520771<-520791,100%,326019<-326040,95%
,NA,NA,NA,NA,NA,520726<-520747,100%
CP178931.1,"Mycoplasmoides pneumoniae strain 87323.fasta chromosome, complete genome",243443->243467,100%,243547<-243567,100%,207931<-207952,95%
,NA,258523->258547,100%,258627<-258647,100%,243502<-243523,100%
,NA,520662->520686,100%,326059<-326079,100%,258582<-258603,100%
,NA,NA,NA,520766<-520786,100%,326014<-326035,95%
,NA,NA,NA,NA,NA,520721<-520742,100%
CP178935.1,"Mycoplasmoides pneumoniae strain 87329.fasta chromosome, complete genome",243433->243457,100%,243537<-243557,100%,207923<-207944,95%
,NA,258513->258537,100%,258617<-258637,100%,243492<-243513,100%
,NA,520651->520675,100%,326049<-326069,100%,258572<-258593,100%
,NA,NA,NA,520755<-520775,100%,326004<-326025,95%
,NA,NA,NA,NA,NA,520710<-520731,100%
NZ_CP017327.1,"Mycoplasmoides pneumoniae strain FH 2009 chromosome, complete genome",165985->166009,100%,166089<-166109,100%,130422<-130443,95%
,NA,179525->179549,100%,179629<-179649,100%,166044<-166065,100%
,NA,441647->441671,100%,246893<-246913,100%,179584<-179605,100%
,NA,NA,NA,441751<-441771,100%,246848<-246869,95%
,NA,NA,NA,NA,NA,441706<-441727,100%
NZ_AP017318.1,"Mycoplasmoides pneumoniae strain KCH-402 chromosome, complete genome",165998->166022,100%,166102<-166122,100%,130422<-130443,95%
,NA,179538->179562,100%,179642<-179662,100%,166057<-166078,100%
,NA,441493->441517,100%,246929<-246949,100%,179597<-179618,100%
,NA,NA,NA,441597<-441617,100%,246884<-246905,95%
,NA,NA,NA,NA,NA,441552<-441573,100%
CP017336.1,"Mycoplasmoides pneumoniae strain GA3 chromosome, complete genome",165969->165993,100%,166073<-166093,100%,130399<-130420,95%
,NA,179509->179533,100%,179613<-179633,100%,166028<-166049,100%
,NA,441629->441653,100%,246909<-246929,100%,179568<-179589,100%
,NA,NA,NA,441733<-441753,100%,246864<-246885,95%
,NA,NA,NA,NA,NA,441688<-441709,100%
CP020693.1,"Mycoplasmoides pneumoniae strain S91-tet-R chromosome, complete genome",165950->165974,100%,166054<-166074,100%,130429<-130450,95%
,NA,181030->181054,100%,181134<-181154,100%,166009<-166030,100%
,NA,443319->443343,100%,248563<-248583,100%,181089<-181110,100%
,NA,NA,NA,443423<-443443,100%,248518<-248539,95%
,NA,NA,NA,NA,NA,443378<-443399,100%
CP179132.1,"Mycoplasmoides pneumoniae strain 89557.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520664->520688,100%,326061<-326081,100%,258581<-258602,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
NZ_CP013829.1,"Mycoplasmoides pneumoniae strain S355 chromosome, complete genome",165936->165960,100%,166040<-166060,100%,130426<-130447,95%
,NA,428088->428112,100%,233473<-233493,100%,165995<-166016,100%
,NA,NA,NA,428192<-428212,100%,233428<-233449,95%
,NA,NA,NA,NA,NA,428147<-428168,100%
CP179015.1,"Mycoplasmoides pneumoniae strain 88032.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520664->520688,100%,326061<-326081,100%,258583<-258604,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP179011.1,"Mycoplasmoides pneumoniae strain 87988.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520657->520681,100%,326052<-326072,100%,258579<-258600,100%
,NA,NA,NA,520761<-520781,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CP017332.1,"Mycoplasmoides pneumoniae strain E16 chromosome, complete genome",165965->165989,100%,166069<-166089,100%,130451<-130472,95%
,NA,181046->181070,100%,181150<-181170,100%,166024<-166045,100%
,NA,443300->443324,100%,248576<-248596,100%,181105<-181126,100%
,NA,NA,NA,443404<-443424,100%,248531<-248552,95%
,NA,NA,NA,NA,NA,443359<-443380,100%
CP179136.1,"Mycoplasmoides pneumoniae strain 89627.fasta chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207932<-207953,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520664->520688,100%,326058<-326078,100%,258577<-258598,100%
,NA,NA,NA,520768<-520788,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP179019.1,"Mycoplasmoides pneumoniae strain 88057.fasta chromosome, complete genome",243450->243474,100%,243554<-243574,100%,207932<-207953,95%
,NA,258530->258554,100%,258634<-258654,100%,243509<-243530,100%
,NA,520678->520702,100%,326075<-326095,100%,258589<-258610,100%
,NA,NA,NA,520782<-520802,100%,326030<-326051,95%
,NA,NA,NA,NA,NA,520737<-520758,100%
CP002077.1,"Mycoplasma pneumoniae FH, complete genome",165956->165980,100%,166060<-166080,100%,130435<-130456,95%
,NA,179496->179520,100%,179600<-179620,100%,166015<-166036,100%
,NA,441422->441446,100%,246843<-246863,100%,179555<-179576,100%
,NA,NA,NA,441526<-441546,100%,246798<-246819,95%
,NA,NA,NA,NA,NA,441481<-441502,100%
CP039785.1,"Mycoplasmoides pneumoniae strain 10-1257 chromosome, complete genome",165965->165989,100%,166069<-166089,100%,130448<-130469,95%
,NA,181045->181069,100%,181149<-181169,100%,166024<-166045,100%
,NA,443167->443191,100%,248575<-248595,100%,181104<-181125,100%
,NA,NA,NA,443271<-443291,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443226<-443247,100%
CP178973.1,"Mycoplasmoides pneumoniae strain 87672.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520657->520681,100%,326055<-326075,100%,258579<-258600,100%
,NA,NA,NA,520761<-520781,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CP039775.1,"Mycoplasmoides pneumoniae strain 11-1384 chromosome, complete genome",166049->166073,100%,166153<-166173,100%,130362<-130383,95%
,NA,179589->179613,100%,179693<-179713,100%,166108<-166129,100%
,NA,441580->441604,100%,246960<-246980,100%,179648<-179669,100%
,NA,NA,NA,441684<-441704,100%,246915<-246936,95%
,NA,NA,NA,NA,NA,441639<-441660,100%
CP178983.1,"Mycoplasmoides pneumoniae strain 87758.fasta chromosome, complete genome",243435->243459,100%,243539<-243559,100%,207923<-207944,95%
,NA,258515->258539,100%,258619<-258639,100%,243494<-243515,100%
,NA,520655->520679,100%,326052<-326072,100%,258574<-258595,100%
,NA,NA,NA,520759<-520779,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520714<-520735,100%
NZ_CP008895.1,"Mycoplasmoides pneumoniae M29 chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207931<-207952,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520654->520678,100%,326052<-326072,100%,258577<-258598,100%
,NA,NA,NA,520758<-520778,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520713<-520734,100%
CP179078.1,"Mycoplasmoides pneumoniae strain 88790.fasta chromosome, complete genome",243435->243459,100%,243539<-243559,100%,207923<-207944,95%
,NA,258515->258539,100%,258619<-258639,100%,243494<-243515,100%
,NA,520655->520679,100%,326052<-326072,100%,258574<-258595,100%
,NA,NA,NA,520759<-520779,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520714<-520735,100%
CP039771.1,"Mycoplasmoides pneumoniae strain 15-215 chromosome, complete genome",165861->165885,100%,165965<-165985,100%,130351<-130372,95%
,NA,180941->180965,100%,181045<-181065,100%,165920<-165941,100%
,NA,443181->443205,100%,248495<-248515,100%,181000<-181021,100%
,NA,NA,NA,443285<-443305,100%,248450<-248471,95%
,NA,NA,NA,NA,NA,443240<-443261,100%
CP178987.1,"Mycoplasmoides pneumoniae strain 87768.fasta chromosome, complete genome",165931->165955,100%,166035<-166055,100%,130423<-130444,95%
,NA,181011->181035,100%,181115<-181135,100%,165990<-166011,100%
,NA,443337->443361,100%,248555<-248575,100%,181070<-181091,100%
,NA,NA,NA,443441<-443461,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443396<-443417,100%
CP039781.1,"Mycoplasmoides pneumoniae strain 11-174 chromosome, complete genome",165977->166001,100%,166081<-166101,100%,130402<-130423,95%
,NA,179517->179541,100%,179621<-179641,100%,166036<-166057,100%
,NA,441496->441520,100%,246885<-246905,100%,179576<-179597,100%
,NA,NA,NA,441600<-441620,100%,246840<-246861,95%
,NA,NA,NA,NA,NA,441555<-441576,100%
CP179088.1,"Mycoplasmoides pneumoniae strain 89176.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130416<-130437,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443233->443257,100%,248558<-248578,100%,181065<-181086,100%
,NA,NA,NA,443337<-443357,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443292<-443313,100%
CP155805.1,"Mycoplasmoides pneumoniae strain M129 chromosome, complete genome",165961->165985,100%,166065<-166085,100%,130451<-130472,95%
,NA,181041->181065,100%,181145<-181165,100%,166020<-166041,100%
,NA,443282->443306,100%,248574<-248594,100%,181100<-181121,100%
,NA,NA,NA,443386<-443406,100%,248529<-248550,95%
,NA,NA,NA,NA,NA,443341<-443362,100%
NZ_CP169363.1,"Mycoplasmoides pneumoniae strain RU-CSP-B chromosome, complete genome",245140->245164,100%,245244<-245264,100%,209626<-209647,95%
,NA,260226->260250,100%,260330<-260350,100%,245199<-245220,100%
,NA,522398->522422,100%,327771<-327791,100%,260285<-260306,100%
,NA,NA,NA,522502<-522522,100%,327726<-327747,95%
,NA,NA,NA,NA,NA,522457<-522478,100%
CP039779.1,"Mycoplasmoides pneumoniae strain 11-473 chromosome, complete genome",165964->165988,100%,166068<-166088,100%,130454<-130475,95%
,NA,181045->181069,100%,181149<-181169,100%,166023<-166044,100%
,NA,443382->443406,100%,248633<-248653,100%,181104<-181125,100%
,NA,NA,NA,443486<-443506,100%,248588<-248609,95%
,NA,NA,NA,NA,NA,443441<-443462,100%
CP179157.1,"Mycoplasmoides pneumoniae strain 89864.fasta chromosome, complete genome",243449->243473,100%,243553<-243573,100%,207931<-207952,95%
,NA,258529->258553,100%,258633<-258653,100%,243508<-243529,100%
,NA,520672->520696,100%,326069<-326089,100%,258588<-258609,100%
,NA,NA,NA,520776<-520796,100%,326024<-326045,95%
,NA,NA,NA,NA,NA,520731<-520752,100%
CP039789.1,"Mycoplasmoides pneumoniae strain 10-1048 chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443273->443297,100%,248478<-248498,100%,180991<-181012,100%
,NA,NA,NA,443377<-443397,100%,248433<-248454,95%
,NA,NA,NA,NA,NA,443332<-443353,100%
CP179080.1,"Mycoplasmoides pneumoniae strain 88804.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520665->520689,100%,326062<-326082,100%,258583<-258604,100%
,NA,NA,NA,520769<-520789,100%,326017<-326038,95%
,NA,NA,NA,NA,NA,520724<-520745,100%
CP179084.1,"Mycoplasmoides pneumoniae strain 88912.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207930<-207951,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520660->520684,100%,520764<-520784,100%,258579<-258600,100%
,NA,NA,NA,NA,NA,520719<-520740,100%
CP179074.1,"Mycoplasmoides pneumoniae strain 88698.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443266->443290,100%,248471<-248491,100%,180991<-181012,100%
,NA,NA,NA,443370<-443390,100%,248426<-248447,95%
,NA,NA,NA,NA,NA,443325<-443346,100%
CM152640.1,"Mycoplasmoides pneumoniae strain TWMP686_2025 isolate MP686_2025 chromosome, complete sequence, whole genome shotgun sequence",165925->165949,100%,166030<-166050,100%,130416<-130437,95%
,NA,181009->181033,100%,181114<-181134,100%,165985<-166006,100%
,NA,443419->443443,100%,248555<-248575,100%,181069<-181090,100%
,NA,NA,NA,443523<-443543,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443478<-443499,100%
CP178954.1,"Mycoplasmoides pneumoniae strain 87452.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520661->520685,100%,326059<-326079,100%,258581<-258602,100%
,NA,NA,NA,520765<-520785,100%,326014<-326035,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
NZ_CP017342.1,"Mycoplasmoides pneumoniae strain CO3 chromosome, complete genome",166006->166030,100%,166110<-166130,100%,130434<-130455,95%
,NA,179546->179570,100%,179650<-179670,100%,166065<-166086,100%
,NA,441716->441740,100%,246913<-246933,100%,179605<-179626,100%
,NA,NA,NA,441820<-441840,100%,246868<-246889,95%
,NA,NA,NA,NA,NA,441775<-441796,100%
CM152644.1,"Mycoplasmoides pneumoniae strain TWMP810_2025 isolate MP810_2025 chromosome, complete sequence, whole genome shotgun sequence",165923->165947,100%,166027<-166047,100%,130413<-130434,95%
,NA,181005->181029,100%,181109<-181129,100%,165982<-166003,100%
,NA,443402->443426,100%,248552<-248572,100%,181064<-181085,100%
,NA,NA,NA,443506<-443526,100%,248507<-248528,95%
,NA,NA,NA,NA,NA,443461<-443482,100%
NZ_CP039768.1,"Mycoplasmoides pneumoniae strain 15-982 chromosome, complete genome",165945->165969,100%,166049<-166069,100%,130429<-130450,95%
,NA,181025->181049,100%,181129<-181149,100%,166004<-166025,100%
,NA,443344->443368,100%,248573<-248593,100%,181084<-181105,100%
,NA,NA,NA,443448<-443468,100%,248528<-248549,95%
,NA,NA,NA,NA,NA,443403<-443424,100%
NZ_CP039790.1,"Mycoplasmoides pneumoniae strain 10-980 chromosome, complete genome",165947->165971,100%,166051<-166071,100%,130431<-130452,95%
,NA,181027->181051,100%,181131<-181151,100%,166006<-166027,100%
,NA,443305->443329,100%,248560<-248580,100%,181086<-181107,100%
,NA,NA,NA,443409<-443429,100%,248515<-248536,95%
,NA,NA,NA,NA,NA,443364<-443385,100%
CP179057.1,"Mycoplasmoides pneumoniae strain 88567.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520662->520686,100%,326060<-326080,100%,258579<-258600,100%
,NA,NA,NA,520766<-520786,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520721<-520742,100%
NZ_CP010542.1,"Mycoplasmoides pneumoniae 54089 chromosome, complete genome",165933->165957,100%,166037<-166057,100%,130415<-130436,95%
,NA,181014->181038,100%,181118<-181138,100%,165992<-166013,100%
,NA,443409->443433,100%,248542<-248562,100%,181073<-181094,100%
,NA,NA,NA,443513<-443533,100%,248497<-248518,95%
,NA,NA,NA,NA,NA,443468<-443489,100%
